inst,fecha,count,min,avg,max
24,"2019-01-04 12:00:00",335,5.70019,17.535683797,47.942308
24,"2019-01-04 13:00:00",1135,5.513177,16.8533257233,48.952031
1,"2019-01-04 13:00:00",318,5.577498,19.3696583899,38.932104
1,"2019-01-04 14:00:00",159,6.111018,39.8644502264,103.405791
24,"2019-01-04 14:00:00",281,5.075982,50.0874533167,105.241029
1,"2019-01-04 15:00:00",152,6.22455,35.321378375,138.075142
24,"2019-01-04 15:00:00",227,4.327174,31.0408242996,141.373425
24,"2019-01-04 16:00:00",382,3.76385,11.0325284188,21.26107
1,"2019-01-04 16:00:00",273,4.00924,9.5079969377,34.447806
24,"2019-01-04 17:00:00",319,4.546183,12.5753152571,38.906298
1,"2019-01-04 17:00:00",168,4.13808,11.622587869,41.707474
24,"2019-01-04 18:00:00",359,2.827788,12.2146074178,29.805481
1,"2019-01-04 18:00:00",234,4.01308,10.2375676709,29.838342
1,"2019-01-04 19:00:00",298,3.012991,8.6055649866,19.090257
24,"2019-01-04 19:00:00",285,4.434631,8.0396616211,26.756604
1,"2019-01-04 20:00:00",323,2.706722,8.2262818947,17.148736
24,"2019-01-04 20:00:00",128,3.404409,7.8855483672,12.60569
24,"2019-01-04 21:00:00",44,6.181281,8.1028003182,13.119772
1,"2019-01-04 21:00:00",137,1.964304,6.9674700146,13.550641
24,"2019-01-05 00:00:00",21,6.419865,6.419865,6.419865
1,"2019-01-05 09:00:00",2,5.854696,5.854696,5.854696
24,"2019-01-05 09:00:00",401,4.053224,5.4714639676,11.152529
24,"2019-01-05 10:00:00",164,3.829894,8.8184743598,18.789333
1,"2019-01-05 10:00:00",200,3.482448,11.612848425,38.858521
24,"2019-01-05 11:00:00",154,5.209558,12.6963505325,25.321729
1,"2019-01-05 11:00:00",141,6.164736,15.2644246738,51.047187
1,"2019-01-05 12:00:00",152,6.314677,34.3940544539,88.811843
24,"2019-01-05 12:00:00",160,5.710673,39.8488581188,93.095138
24,"2019-01-05 13:00:00",301,5.774659,18.4807634551,55.701039
1,"2019-01-05 13:00:00",396,5.311503,21.1492356237,58.823355
1,"2019-01-05 14:00:00",355,4.984667,15.5922184394,40.262389
24,"2019-01-05 14:00:00",372,5.245914,13.1582089516,42.826441
1,"2019-01-05 15:00:00",138,3.585262,13.2374328406,34.618231
24,"2019-01-05 15:00:00",374,4.499105,14.6094687406,29.874352
24,"2019-01-05 16:00:00",340,5.373374,14.4676025088,31.159101
1,"2019-01-05 16:00:00",124,5.849549,15.7940968952,30.12358
24,"2019-01-05 17:00:00",354,3.737192,12.7907052825,29.312632
1,"2019-01-05 17:00:00",258,4.743193,12.1681680736,21.155526
24,"2019-01-05 18:00:00",210,4.407435,9.4920267333,19.506841
1,"2019-01-05 18:00:00",195,3.767103,9.5203973128,18.817466
24,"2019-01-05 19:00:00",367,3.308629,10.5018718747,16.873096
1,"2019-01-05 19:00:00",107,3.327707,9.0652180187,19.333668
1,"2019-01-05 20:00:00",129,2.597508,8.0072904729,17.9284
24,"2019-01-05 20:00:00",137,3.119476,8.5602415547,15.154163
1,"2019-01-05 21:00:00",11,6.551635,9.7686762727,14.576536
24,"2019-01-05 21:00:00",173,4.274335,8.1389571445,9.025362
24,"2019-01-05 22:00:00",128,4.941041,9.6556556484,11.99452
1,"2019-01-05 22:00:00",57,2.450025,2.450025,2.450025
1,"2019-01-05 23:00:00",1059,4.127994,7.2439270992,12.197649
24,"2019-01-07 00:00:00",46,7.573095,7.573095,7.573095
1,"2019-01-07 00:00:00",35,5.236464,5.236464,5.236464
24,"2019-01-07 06:00:00",1032,10.487689,10.4891414797,10.489816
1,"2019-01-07 07:00:00",113,3.814764,6.3958797611,9.767133
24,"2019-01-07 07:00:00",306,5.10497,7.7170161895,7.87402
1,"2019-01-07 08:00:00",231,3.868966,7.2753571169,16.235989
24,"2019-01-07 08:00:00",125,3.109239,8.109462544,14.648696
24,"2019-01-07 09:00:00",546,4.363984,22.9193503645,70.895181
1,"2019-01-07 09:00:00",239,3.821301,25.4369561381,65.858029
1,"2019-01-07 10:00:00",793,3.988204,155.5383500668,311.948058
24,"2019-01-07 10:00:00",674,5.010502,176.7903406944,298.767122
1,"2019-01-07 11:00:00",796,313.616873,522.5396584812,796.932839
24,"2019-01-07 11:00:00",1171,317.358533,559.1628868155,803.069977
